需求ID,需求名称,需求类型,优先级,实现状态,验证状态,责任团队,实现路径,测试文件,验证团队,完成日期,备注
FR-006-03,评估频率配置,功能需求,P1,已实现,已验证,core/web-gw-api/src/dto.rs,POST /api/v1/alerts/rules,eval_freq_test.rs,告警团队,2025-01-16,eval_every配置
FR-006-04,告警历史记录,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/alerts.rs,GET /api/v1/alerts/history,alert_history_test.rs,告警团队,2025-01-16,历史告警查询
FR-006-05,实时告警通知,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,WebSocket Alert接口,alert_notify_test.rs,告警团队,2025-01-16,WebSocket推送

NFR-001,API性能要求,非功能需求,P0,已实现,已验证,core/web-gw-api/,API性能测试,response_time_test.rs,性能团队,2025-01-13,<100ms P95
NFR-001-01,REST API性能,非功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/,/api/v1/*,api_perf_test.rs,性能团队,2025-01-13,<100ms P95设备
NFR-001-02,WebSocket延迟,非功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,WebSocket通信,ws_latency_test.rs,性能团队,2025-01-13,<50ms延迟
NFR-001-03,Frame Bus延迟,非功能需求,P0,已实现,已验证,core/frame-bus/,消息传输,framebus_perf_test.rs,性能团队,2025-01-13,<1ms传输延迟
NFR-001-04,数据库连接,非功能需求,P0,已实现,已验证,core/web-gw-api/src/config.rs,数据库连接池,db_conn_test.rs,数据层团队,2025-01-13,<10ms获取连接
NFR-001-05,系统启动性能,非功能需求,P1,已实现,已验证,整体系统,系统启动,startup_test.rs,运维团队,2025-01-13,<30秒启动

NFR-002,吞吐量要求,非功能需求,P0,已实现,已验证,整体系统,性能基准测试,throughput_test.rs,性能团队,2025-01-13,1000+条/秒
NFR-002-01,数据传输吞吐,非功能需求,P0,已实现,已验证,core/frame-bus/,Frame Bus性能,data_throughput_test.rs,性能团队,2025-01-13,1000+条/秒
NFR-002-02,WebSocket连接,非功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,连接基准测试,ws_concurrent_test.rs,性能团队,2025-01-13,1000+连接
NFR-002-03,HTTP并发请求,非功能需求,P1,已实现,已验证,core/web-gw-api/,HTTP生命周期测试,http_concurrent_test.rs,性能团队,2025-01-13,100+ QPS
NFR-002-04,数据库连接池,非功能需求,P1,已实现,已验证,core/web-gw-api/src/config.rs,连接池配置,db_pool_test.rs,数据层团队,2025-01-13,50-100连接
NFR-002-05,批处理吞吐,非功能需求,P0,已实现,已验证,core/frame-bus/src/config.rs,批处理配置,batch_test.rs,性能团队,2025-01-13,2000条/批

NFR-003,资源限制,非功能需求,P1,已实现,已验证,整体系统,资源测试,resource_test.rs,运维团队,2025-01-13,标准<512MB
NFR-003-01,内存限制,非功能需求,P1,已实现,已验证,整体系统,内存测试,memory_usage_test.rs,运维团队,2025-01-13,运行时<512MB
NFR-003-02,CPU限制,非功能需求,P1,已实现,已验证,整体系统,CPU测试,cpu_usage_test.rs,运维团队,2025-01-13,平均<10%
NFR-003-03,磁盘I/O限制,非功能需求,P1,已实现,已验证,core/frame-bus/src/wal.rs,WAL写入测试,disk_io_test.rs,存储团队,2025-01-13,<100MB/s
NFR-003-04,网络带宽限制,非功能需求,P2,已实现,已验证,整体系统,网络测试,network_test.rs,网络团队,2025-01-13,<10Mbps
NFR-003-05,WAL存储限制,非功能需求,P1,已实现,已验证,core/frame-bus/src/config.rs,WAL配置,wal_limit_test.rs,存储团队,2025-01-13,2GB-16GB可配置

NFR-004,认证授权,非功能需求,P1,部分实现,部分实现,core/web-gw-api/src/auth,身份验证,auth_test.rs,安全团队,待定,JWT基础框架
NFR-004-01,JWT Token认证,非功能需求,P1,部分实现,部分实现,core/web-gw-api/src/auth,JWT验证,jwt_test.rs,安全团队,待定,框架存在待完善
NFR-004-02,CORS跨域,非功能需求,P1,部分实现,部分实现,core/web-gw-api/src/config.rs,CORS配置,cors_test.rs,安全团队,2025-01-13,开放设置需调整
NFR-004-03,访问控制中间件,非功能需求,P1,部分实现,部分实现,core/web-gw-api/src/middleware,中间件,access_control_test.rs,安全团队,待定,基础中间件存在
NFR-004-04,RBAC权限,非功能需求,P2,待实现,待实现,core/web-gw-api/src/rbac,角色权限,rbac_test.rs,安全团队,未定,待实现功能
NFR-004-05,API限流,非功能需求,P2,待实现,待实现,core/web-gw-api/src/middleware,限流中间件,rate_limit_test.rs,安全团队,未定,待实现功能

NFR-005,数据安全,非功能需求,P0,部分实现,部分实现,整体系统,安全测试,data_security_test.rs,安全团队,待定,基础安全机制
NFR-005-01,HTTPS通信加密,非功能需求,P0,部分实现,部分实现,core/web-gw-api/src/config.rs,TLS配置,https_test.rs,安全团队,待定,支持框架待配置
NFR-005-02,SQL注入防护,非功能需求,P0,已实现,已验证,infra/pg-repo/,SQLx编译器检查,sql_injection_test.rs,数据层团队,2025-01-13,编译时检查
NFR-005-03,敏感配置管理,非功能需求,P0,已实现,已验证,config/,环境变量,config_security_test.rs,运维团队,2025-01-13,环境变量管理
NFR-005-04,输入验证,非功能需求,P0,已实现,已验证,core/web-gw-api/src/dto.rs,参数验证,input_validation_test.rs,API团队,2025-01-13,serde验证
NFR-005-05,信息泄露防护,非功能需求,P0,已实现,已验证,core/web-gw-api/src/error.rs,错误管理,info_leak_test.rs,安全团队,2025-01-13,统一错误管理

NFR-006,系统可用性,非功能需求,P0,部分实现,部分实现,整体系统,可用性测试,availability_test.rs,运维团队,待定,基础监控存在
NFR-006-01,系统可用性目标,非功能需求,P0,部分实现,部分实现,整体系统,可用性测试,uptime_test.rs,运维团队,待定,>99.5%目标
NFR-006-02,故障恢复能力,非功能需求,P0,部分实现,部分实现,整体系统,故障测试,mtbf_test.rs,运维团队,待定,>720小时目标
NFR-006-03,故障修复时间,非功能需求,P0,部分实现,部分实现,整体系统,修复测试,mttr_test.rs,运维团队,待定,<15分钟目标
NFR-006-04,优雅降级,非功能需求,P1,已实现,已验证,core/frame-bus/src/lib.rs,降级机制,graceful_degradation_test.rs,运维团队,2025-01-13,WAL失败降级
NFR-006-05,健康检查,非功能需求,P0,已实现,已实现,core/web-gw-api/src/routes/health.rs,/health端点,health_check_test.rs,运维团队,已实现,健康检查端点

NFR-007,数据完整性,非功能需求,P0,已实现,已验证,整体数据流,数据完整性测试,data_integrity_test.rs,数据层团队,2025-01-13,WAL保证零丢失
NFR-007-01,数据零丢失保证,非功能需求,P0,已实现,已验证,core/frame-bus/src/wal.rs,WAL机制,zero_loss_test.rs,数据层团队,2025-01-13,WAL持久化保证
NFR-007-02,数据事务性,非功能需求,P0,已实现,已验证,infra/pg-repo/,事务管理,transaction_test.rs,数据层团队,2025-01-13,ACID事务支持
NFR-007-03,数据校验,非功能需求,P1,已实现,已验证,core/web-gw-api/src/dto.rs,数据验证,data_validation_test.rs,数据层团队,2025-01-13,serde验证机制
NFR-007-04,数据备份,非功能需求,P2,待实现,待实现,infra/backup,备份机制,backup_test.rs,数据层团队,未定,待实现功能
NFR-007-05,一致性保证,非功能需求,P2,待实现,待实现,整体系统,一致性机制,consistency_test.rs,运维团队,未定,待实现功能

UI-001,基础布局,界面需求,P0,已实现,已验证,web-ui/src/App.vue,基础布局,ui_layout_test.js,前端团队,2025-01-14,Element Plus布局
UI-001-01,响应式导航,界面需求,P0,已实现,已验证,web-ui/src/components/AppHeader.vue,导航栏,header_test.js,前端团队,2025-01-14,顶部响应式导航
UI-001-02,侧边栏导航,界面需求,P0,已实现,已验证,web-ui/src/components/AppSidebar.vue,侧边导航,sidebar_test.js,前端团队,2025-01-14,折叠侧边栏
UI-001-03,主内容区,界面需求,P0,已实现,已验证,web-ui/src/App.vue,内容布局,content_test.js,前端团队,2025-01-14,路由内容区
UI-001-04,响应式布局,界面需求,P1,已实现,已验证,web-ui/src/styles/,响应式CSS,responsive_test.js,前端团队,2025-01-14,移动端适配

UI-002,仪表盘界面,界面需求,P0,已实现,已验证,web-ui/src/views/DashboardView.vue,仪表盘界面,dashboard_test.js,前端团队,2025-01-15,统计卡片和图表
UI-002-01,统计卡片,界面需求,P0,已实现,已验证,web-ui/src/components/StatsCard.vue,统计组件,stats_card_test.js,前端团队,2025-01-15,关键数据统计
UI-002-02,趋势图表,界面需求,P0,已实现,已验证,web-ui/src/components/TrendChart.vue,图表组件,trend_chart_test.js,前端团队,2025-01-15,ECharts集成
UI-002-03,设备状态概览,界面需求,P1,已实现,已验证,web-ui/src/components/StatusChart.vue,状态图表,status_chart_test.js,前端团队,2025-01-15,饼图展示
UI-002-04,实时数据更新,界面需求,P0,已实现,已验证,web-ui/src/composables/useWebSocket.ts,WebSocket集成,realtime_update_test.js,前端团队,2025-01-15,实时刷新

UI-003,设备管理界面,界面需求,P0,已实现,已验证,web-ui/src/views/DevicesView.vue,设备管理界面,devices_ui_test.js,前端团队,2025-01-15,设备CRUD界面
UI-003-01,设备列表表格,界面需求,P0,已实现,已验证,web-ui/src/components/DevicesTable.vue,表格组件,devices_table_test.js,前端团队,2025-01-15,分页表格
UI-003-02,设备编辑对话框,界面需求,P0,已实现,已验证,web-ui/src/components/DeviceDialog.vue,对话框组件,device_dialog_test.js,前端团队,2025-01-15,表单对话框
UI-003-03,设备搜索过滤,界面需求,P1,已实现,已验证,web-ui/src/views/DevicesView.vue,搜索功能,device_search_test.js,前端团队,2025-01-15,关键字搜索
UI-003-04,批量操作,界面需求,P0,已实现,已验证,web-ui/src/components/DevicesTable.vue,批量操作,device_actions_test.js,前端团队,2025-01-15,编辑/删除操作

UI-004,遥测数据界面,界面需求,P0,已实现,已验证,web-ui/src/views/TelemetryView.vue,遥测数据界面,telemetry_ui_test.js,前端团队,2025-01-16,实时数据监控
UI-004-01,数据源选择,界面需求,P0,已实现,已验证,web-ui/src/components/DataSourceSelector.vue,选择器组件,data_source_test.js,前端团队,2025-01-16,设备/数据点选择
UI-004-02,实时数据表格,界面需求,P0,已实现,已验证,web-ui/src/components/RealtimeTable.vue,实时表格,realtime_table_test.js,前端团队,2025-01-16,实时数据展示
UI-004-03,历史趋势图,界面需求,P1,已实现,已验证,web-ui/src/components/HistoryChart.vue,历史图表,history_chart_test.js,前端团队,2025-01-16,历史曲线图表
UI-004-04,监控控制选项,界面需求,P0,已实现,已验证,web-ui/src/views/TelemetryView.vue,控制选项,monitoring_control_test.js,前端团队,2025-01-16,开始/停止监控

UX-001,用户登录流程,用户体验,P1,部分实现,部分实现,web-ui/src/views/LoginView.vue,登录流程,login_flow_test.js,前端团队,待定,基础框架
UX-001-01,登录表单,用户体验,P1,部分实现,部分实现,web-ui/src/components/LoginForm.vue,登录组件,login_form_test.js,前端团队,待定,基础表单存在
UX-001-02,JWT Token处理,用户体验,P1,部分实现,部分实现,web-ui/src/stores/auth.ts,认证状态,jwt_handling_test.js,前端团队,待定,Token存储机制
UX-001-03,自动登录,用户体验,P2,待实现,待实现,web-ui/src/stores/auth.ts,自动登录,auto_login_test.js,前端团队,未定,记住登录状态
UX-001-04,登录错误处理,用户体验,P1,部分实现,部分实现,web-ui/src/views/LoginView.vue,错误处理,login_error_test.js,前端团队,待定,基础错误处理

UX-002,设备配置流程,用户体验,P0,已实现,已验证,web-ui/src/views/DevicesView.vue,配置流程,device_config_flow_test.js,前端团队,2025-01-15,完整配置流程
UX-002-01,表单验证,用户体验,P0,已实现,已验证,web-ui/src/components/DeviceDialog.vue,表单验证,form_validation_test.js,前端团队,2025-01-15,输入验证规则
UX-002-02,提交反馈,用户体验,P0,已实现,已验证,web-ui/src/stores/devices.ts,操作反馈,submit_feedback_test.js,前端团队,2025-01-15,成功/错误提示
UX-002-03,加载状态,用户体验,P0,已实现,已验证,web-ui/src/components/DeviceDialog.vue,加载提示,loading_state_test.js,前端团队,2025-01-15,提交过程状态
UX-002-04,操作确认,用户体验,P1,已实现,已验证,web-ui/src/views/DevicesView.vue,确认对话框,confirmation_test.js,前端团队,2025-01-15,删除确认

UX-003,数据监控流程,用户体验,P0,已实现,已验证,web-ui/src/views/TelemetryView.vue,监控流程,monitoring_flow_test.js,前端团队,2025-01-16,完整监控体验
UX-003-01,WebSocket连接状态,用户体验,P0,已实现,已验证,web-ui/src/composables/useWebSocket.ts,连接状态,connection_status_test.js,前端团队,2025-01-16,连接状态提示
UX-003-02,数据更新动画,用户体验,P1,已实现,已验证,web-ui/src/components/RealtimeTable.vue,更新动画,update_animation_test.js,前端团队,2025-01-16,数据变化动画
UX-003-03,断线重连机制,用户体验,P0,已实现,已验证,web-ui/src/composables/useWebSocket.ts,重连机制,reconnect_test.js,前端团队,2025-01-16,自动重连
UX-003-04,数据源选择反馈,用户体验,P1,已实现,已验证,web-ui/src/components/DataSourceSelector.vue,选择反馈,selection_feedback_test.js,前端团队,2025-01-16,选择状态提示
